PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000270775.1.wgt.RDat	ENSG00000270775.1	11	65026514	65026515	0.2364	rs11820322	-3.57	rs664226	 0.166144	 -6.07	 0.1897	328	  1	top1	0.17	3.7e-10	-0.18975	0.849506
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000110025.12.wgt.RDat	ENSG00000110025.12	11	65027407	65027408	0.2135	rs11820322	-3.57	rs664226	 0.031113	 -4.63	 0.1897	330	 25	enet	0.035	0.0034	-1.76358	0.077803
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000255200.1.wgt.RDat	ENSG00000255200.1	11	65176469	65176470	0.2457	rs12801636	-4.56	rs3953797	 0.245829	 -7.28	 0.2203	325	  1	top1	0.25	7.8e-15	-0.22028	0.825656
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000254614.2.wgt.RDat	ENSG00000254614.2	11	65181685	65181686	0.7299	rs12801636	-4.56	rs3953797	 0.559444	-10.90	 0.2203	326	  1	top1	0.56	1.2e-39	-0.22028	0.825656
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000014138.8.wgt.RDat	ENSG00000014138.8	11	65261761	65261762	0.3104	rs12801636	-4.56	rs677740	 0.132554	  5.44	-0.0581	329	  1	top1	0.13	2.7e-08	-0.05813	0.953643
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000245532.7.wgt.RDat	ENSG00000245532.7	11	65422773	65422774	0.3408	rs12801636	-4.56	rs694243	 0.283957	  7.98	-0.0538	360	360	susie	0.29	1.1e-17	-0.05953	0.952531
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000173727.12.wgt.RDat	ENSG00000173727.12	11	65455257	65455258	0.1120	rs12801636	-4.56	rs682845	 0.057434	  4.60	 0.5141	356	  1	top1	0.057	0.00025	 0.51410	0.607181
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000260233.3.wgt.RDat	ENSG00000260233.3	11	65570422	65570423	0.2066	rs12801636	-4.56	rs12270054	 0.112879	  5.68	-1.3552	357	  1	top1	0.11	3.1e-07	-1.35522	0.175349
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000173327.7.wgt.RDat	ENSG00000173327.7	11	65614248	65614249	0.2315	rs12801636	-4.56	rs2004649	 0.203490	  6.75	 3.0113	349	  1	top1	0.2	2.7e-12	 3.01127	0.002602
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000172922.8.wgt.RDat	ENSG00000172922.8	11	65720946	65720947	0.4236	rs12801636	-4.56	rs3372	 0.307207	 -8.28	 0.6336	327	  1	top1	0.31	9e-19	-0.63356	0.526366
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000214659.4.wgt.RDat	ENSG00000214659.4	11	65726938	65726939	0.3627	rs12801636	-4.56	rs36008241	 0.159416	 -6.17	-0.7658	331	331	susie	0.17	2.8e-10	 0.76742	0.442835
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000172803.17.wgt.RDat	ENSG00000172803.17	11	65833640	65833641	0.4331	rs12801636	-4.56	rs2231884	 0.268971	  8.53	 1.3372	349	 20	enet	0.34	9.5e-21	 0.81805	0.413331
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000172543.7.wgt.RDat	ENSG00000172543.7	11	65879808	65879809	0.5362	rs12801636	-4.56	rs687672	 0.422922	 -9.52	 1.7285	348	  1	top1	0.42	3.3e-27	-1.72847	0.083904
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000175334.7.wgt.RDat	ENSG00000175334.7	11	66002176	66002177	0.1109	rs12801636	-4.56	rs491973	 0.053185	 -4.61	-1.8992	346	346	susie	0.076	2.6e-05	 1.99217	0.046352
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000255320.1.wgt.RDat	ENSG00000255320.1	11	66246238	66246239	0.1550	rs557675	-3.93	rs2236652	 0.118521	  5.55	 1.5531	327	327	susie	0.12	1.4e-07	 1.47691	0.139699
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000254855.1.wgt.RDat	ENSG00000254855.1	11	66265653	66265654	0.1630	rs557675	-3.93	rs484261	 0.114216	 -5.13	-0.7080	327	  1	top1	0.11	2.6e-07	 0.70800	0.478946
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000254986.7.wgt.RDat	ENSG00000254986.7	11	66480012	66480013	0.0738	rs3016311	-2.70	rs11550299	 0.088079	 -4.53	-0.1532	283	  1	top1	0.088	6.3e-06	 0.15324	0.878206
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000248746.5.wgt.RDat	ENSG00000248746.5	11	66546394	66546395	0.0791	rs3016311	-2.70	rs1815739	 0.025857	 -4.59	 1.0084	264	264	susie	0.05	0.00061	-1.34346	0.179124
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000174080.10.wgt.RDat	ENSG00000174080.10	11	66568840	66568841	0.2583	rs3016311	-2.70	rs2242663	 0.183338	  6.58	-1.2801	259	  1	top1	0.18	4e-11	-1.28006	0.200524
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000239306.4.wgt.RDat	ENSG00000239306.4	11	66616581	66616582	0.2869	rs3016311	-2.70	rs479018	 0.023792	  3.96	-0.0202	260	  6	lasso	0.025	0.012	-0.58443	0.558929
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000173156.6.wgt.RDat	ENSG00000173156.6	11	67056817	67056818	0.3498	rs3741190	 2.70	rs11227678	 0.062750	 -5.06	 1.3292	242	  8	lasso	0.066	8.4e-05	-1.41932	0.155806
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000172613.7.wgt.RDat	ENSG00000172613.7	11	67317870	67317871	0.4792	rs3741190	 2.70	rs7952436	 0.136919	  5.57	 1.6477	256	256	susie	0.17	1.8e-10	 0.47542	0.634488
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000172531.14.wgt.RDat	ENSG00000172531.14	11	67419485	67419486	0.1409	rs3741190	 2.70	rs12421329	 0.028570	 -4.43	 2.0092	235	  1	top1	0.029	0.0077	-2.00924	0.044512
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000175634.14.wgt.RDat	ENSG00000175634.14	11	67428482	67428483	0.1098	rs3741190	 2.70	rs1790752	 0.025424	 -4.17	 1.7687	231	  6	enet	0.048	0.00074	-1.62244	0.104708
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000084207.15.wgt.RDat	ENSG00000084207.15	11	67583594	67583595	0.2470	rs11604662	 2.37	rs7938563	 0.093467	 -6.23	 1.8644	246	  4	lasso	0.12	1.5e-07	-1.96816	0.049049
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000167792.11.wgt.RDat	ENSG00000167792.11	11	67606851	67606852	0.1738	rs11604662	 2.37	rs4148959	 0.153460	  5.94	 1.6027	249	  1	top1	0.15	1.9e-09	 1.60272	0.108997
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000231793.5.wgt.RDat	ENSG00000231793.5	11	67616256	67616257	0.1475	rs11604662	 2.37	rs12421762	 0.022232	  4.42	 0.4106	249	 19	enet	0.051	0.00054	 0.97238	0.330860
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000167799.9.wgt.RDat	ENSG00000167799.9	11	67629929	67629930	0.1271	rs11604662	 2.37	rs12421329	 0.088843	  4.88	 2.0092	248	  1	top1	0.089	5.7e-06	 2.00924	0.044512
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000171067.10.wgt.RDat	ENSG00000171067.10	11	68272000	68272001	0.3051	rs882979	 2.66	rs2458268	 0.111760	 -5.34	-0.2847	298	  1	top1	0.11	3.5e-07	 0.28471	0.775863
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000250508.1.wgt.RDat	ENSG00000250508.1	11	68870663	68870664	0.2115	rs1249582	-3.28	rs12291142	 0.000789	 -4.25	 1.5221	429	429	susie	0.023	0.016	-1.27519	0.202240
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000197345.12.wgt.RDat	ENSG00000197345.12	11	68903834	68903835	0.6295	rs1249582	-3.28	rs636049	 0.576511	-11.08	-1.8366	429	  1	top1	0.58	1.9e-41	 1.83658	0.066272
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000132740.8.wgt.RDat	ENSG00000132740.8	11	68903841	68903842	0.4857	rs1249582	-3.28	rs604524	 0.330748	  8.72	-1.7704	429	 31	enet	0.39	2.7e-24	-1.59302	0.111155
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000172938.3.wgt.RDat	ENSG00000172938.3	11	68980985	68980986	0.2576	rs1249582	-3.28	rs7482475	 0.178340	 -6.56	-3.1931	440	  2	lasso	0.19	1.8e-11	 2.88457	0.003920
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000261625.1.wgt.RDat	ENSG00000261625.1	11	69002047	69002048	0.2136	rs1249582	-3.28	rs1054252	 0.240988	 -7.22	-2.2615	443	  1	top1	0.24	1.5e-14	 2.26155	0.023725
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000256508.2.wgt.RDat	ENSG00000256508.2	11	69012282	69012283	0.2049	rs1249582	-3.28	rs660614	 0.109873	  5.65	-1.6781	449	449	susie	0.13	5.9e-08	-1.75477	0.079299
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000162341.16.wgt.RDat	ENSG00000162341.16	11	69048896	69048897	0.2061	rs1249582	-3.28	rs896978	 0.079932	 -4.53	 0.0682	446	  1	top1	0.08	1.7e-05	-0.06821	0.945617
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000131626.16.wgt.RDat	ENSG00000131626.16	11	70270699	70270700	0.1987	rs12801756	-3.26	rs670310	 0.133128	 -5.53	 0.2296	444	  1	top1	0.13	2.5e-08	-0.22961	0.818394
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000085733.15.wgt.RDat	ENSG00000085733.15	11	70398488	70398489	0.1342	rs930585	 3.51	rs7113595	 0.046950	  4.43	-2.6745	424	  5	lasso	0.059	2e-04	-3.00843	0.002626
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000254682.1.wgt.RDat	ENSG00000254682.1	11	71448673	71448674	0.5066	rs7129044	 2.65	rs12791871	 0.460666	 -9.91	 0.1654	311	311	susie	0.47	6.2e-31	-0.07317	0.941670
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000172890.11.wgt.RDat	ENSG00000172890.11	11	71453108	71453109	0.3401	rs7129044	 2.65	rs7928249	 0.143999	 -6.14	 0.1357	310	 14	enet	0.18	6.3e-11	-1.48381	0.137860
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000254997.3.wgt.RDat	ENSG00000254997.3	11	71548417	71548418	0.1115	rs7129044	 2.65	rs4944076	 0.020708	 -3.90	 1.1662	345	 10	enet	0.029	0.0078	-1.03154	0.302290
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000158483.15.wgt.RDat	ENSG00000158483.15	11	71787509	71787510	0.4427	rs7129044	 2.65	rs2040301	 0.270418	  7.73	 1.3310	326	326	susie	0.27	1.7e-16	 1.28746	0.197934
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000214530.8.wgt.RDat	ENSG00000214530.8	11	72794167	72794168	0.3138	rs7109466	-2.92	rs4400839	 0.024628	  5.34	 1.1529	338	 15	enet	0.084	1.1e-05	 1.97818	0.047908
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000175582.19.wgt.RDat	ENSG00000175582.19	11	73761136	73761137	0.0791	rs7940286	 3.65	rs591804	-0.002030	 -3.46	 1.6525	333	333	susie	0.025	0.012	-0.88266	0.377421
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000175581.13.wgt.RDat	ENSG00000175581.13	11	73787315	73787316	0.2433	rs7940286	 3.65	rs1641	 0.005539	  3.91	-1.5020	331	331	susie	0.054	0.00037	-0.81055	0.417623
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000175575.12.wgt.RDat	ENSG00000175575.12	11	73876698	73876699	0.3734	rs7940286	 3.65	rs10898950	 0.057034	 -4.67	-0.6069	341	  5	lasso	0.083	1.2e-05	-0.70236	0.482453
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000168014.16.wgt.RDat	ENSG00000168014.16	11	74171097	74171098	0.1779	rs12576616	 3.43	rs3902018	-0.004676	 -3.03	 0.4244	407	407	susie	0.062	0.00015	 0.26930	0.787699
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000278879.1.wgt.RDat	ENSG00000278879.1	11	74832509	74832510	0.4922	rs7947106	-2.53	rs2119028	 0.296830	  8.02	 0.5708	460	  1	top1	0.3	4.4e-18	 0.57081	0.568125
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000241170.2.wgt.RDat	ENSG00000241170.2	11	74876285	74876286	0.4196	rs7947106	-2.53	rs2298746	 0.281220	 -7.89	 0.6330	454	454	susie	0.33	1.5e-20	-0.00602	0.995200
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000166435.15.wgt.RDat	ENSG00000166435.15	11	74949199	74949200	0.8131	rs534812	 3.01	rs2119028	 0.692621	 12.13	 0.5708	456	456	susie	0.7	9.6e-57	 0.44462	0.656597
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000118363.11.wgt.RDat	ENSG00000118363.11	11	74949246	74949247	0.1266	rs534812	 3.01	rs10899076	-0.003883	 -3.61	 0.8659	456	 22	enet	0.0095	0.083	 0.80944	0.418263
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000255362.1.wgt.RDat	ENSG00000255362.1	11	76216024	76216025	0.2991	rs7111334	 2.79	rs12416814	-0.002836	  3.76	 0.4139	444	444	susie	0.015	0.043	-0.24695	0.804943
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000254810.1.wgt.RDat	ENSG00000254810.1	11	76656711	76656712	0.1769	rs603232	 2.61	rs3197153	 0.143039	 -6.00	-0.4715	474	474	susie	0.14	6.7e-09	 0.36449	0.715489
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000204529.4.wgt.RDat	ENSG00000204529.4	11	76719800	76719801	0.2292	rs883223	-3.39	rs1149603	 0.109228	  5.29	-0.7199	487	487	susie	0.11	3.2e-07	-0.74701	0.455055
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000149269.9.wgt.RDat	ENSG00000149269.9	11	77455936	77455937	0.1814	rs3018485	-4.05	rs3019251	 0.129500	 -5.41	-1.8333	361	  1	top1	0.13	3.9e-08	 1.83333	0.066754
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000178301.3.wgt.RDat	ENSG00000178301.3	11	77589390	77589391	0.1365	rs3018485	-4.05	rs12418734	 0.059858	 -4.43	-2.2768	364	  1	top1	0.06	0.00018	 2.27683	0.022796
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000087884.14.wgt.RDat	ENSG00000087884.14	11	77821108	77821109	0.1449	rs3018485	-4.05	rs2186564	 0.085248	 -4.40	-2.3087	352	  3	lasso	0.089	5.4e-06	 2.05949	0.039447
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000241782.1.wgt.RDat	ENSG00000241782.1	11	77869194	77869195	0.1058	rs3018485	-4.05	rs509456	 0.022938	  3.73	 0.1727	351	  4	lasso	0.037	0.0028	 1.17005	0.241980
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000255449.1.wgt.RDat	ENSG00000255449.1	11	77870090	77870091	0.1477	rs3018485	-4.05	rs10899380	-0.004695	  3.14	 3.3885	351	351	susie	0.033	0.0044	 3.40577	0.000660
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000254459.1.wgt.RDat	ENSG00000254459.1	11	77872173	77872174	0.2106	rs3018485	-4.05	rs1630344	 0.055985	 -4.42	-1.8351	349	349	susie	0.073	3.7e-05	 2.98767	0.002811
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000246174.7.wgt.RDat	ENSG00000246174.7	11	78139770	78139771	0.5656	rs1017908	-2.97	rs10793282	 0.373406	 -9.25	 0.8610	341	  5	lasso	0.39	7.9e-25	-0.83112	0.405903
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000137513.9.wgt.RDat	ENSG00000137513.9	11	78574873	78574874	0.3154	rs1017908	-2.97	rs7936011	 0.220407	 -7.29	-1.6082	455	455	susie	0.24	2.4e-14	 1.77577	0.075771
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000149256.15.wgt.RDat	ENSG00000149256.15	11	79440947	79440948	0.4060	rs11600210	 2.46	rs7121592	 0.237777	  7.23	-0.4785	649	 15	enet	0.26	5.5e-16	-0.25709	0.797106
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000137502.9.wgt.RDat	ENSG00000137502.9	11	83071922	83071923	0.1031	rs11233357	 3.17	rs7947780	 0.020595	 -3.95	-0.3034	419	  5	enet	0.033	0.0047	 0.96708	0.333505
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000246067.7.wgt.RDat	ENSG00000246067.7	11	83072065	83072066	0.6600	rs11233357	 3.17	rs3763812	 0.088087	 -5.32	 1.1351	419	 11	lasso	0.31	1.2e-18	-1.64719	0.099519
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000137494.13.wgt.RDat	ENSG00000137494.13	11	83193794	83193795	0.3676	rs11233357	 3.17	rs565674	 0.164225	  6.53	 1.2371	398	398	susie	0.2	4e-12	 1.64853	0.099244
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000137500.9.wgt.RDat	ENSG00000137500.9	11	83286126	83286127	0.4429	rs11233357	 3.17	rs565674	 0.395923	  9.58	 1.2371	386	386	susie	0.41	4.6e-26	 1.23941	0.215194
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000171202.6.wgt.RDat	ENSG00000171202.6	11	85647966	85647967	0.0607	rs2101282	-2.02	rs290185	 0.010429	  3.83	 0.8554	358	  4	lasso	0.044	0.0013	 1.19162	0.233412
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000179071.4.wgt.RDat	ENSG00000179071.4	11	85686276	85686277	0.2583	rs2101282	-2.02	rs17208602	 0.185943	  6.51	 0.0846	363	  1	top1	0.19	2.8e-11	 0.08456	0.932611
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000279742.1.wgt.RDat	ENSG00000279742.1	11	85854942	85854943	0.1110	rs3844144	 2.19	rs12361800	 0.046635	 -4.29	-1.0628	381	  1	top1	0.047	0.00089	 1.06277	0.287887
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000151376.16.wgt.RDat	ENSG00000151376.16	11	86672635	86672636	0.1803	rs7102970	-3.10	rs12282010	 0.003382	  3.52	-0.6455	583	583	susie	0.022	0.016	-0.79075	0.429092
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000123892.11.wgt.RDat	ENSG00000123892.11	11	88175466	88175467	0.1342	rs1027027	-3.12	rs1346264	 0.017957	  3.90	 0.9997	550	550	susie	0.02	0.022	 0.78911	0.430051
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000077616.10.wgt.RDat	ENSG00000077616.10	11	90131514	90131515	0.1678	rs2075536	-2.61	rs16917622	 0.039933	  4.46	-1.4850	259	259	susie	0.075	3.2e-05	-1.74460	0.081054
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000280385.1.wgt.RDat	ENSG00000280385.1	11	90193613	90193614	0.5476	rs7481240	-2.45	rs7111107	 0.265089	  8.27	-0.7719	273	 29	enet	0.38	1.4e-23	-0.98321	0.325504
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000280367.1.wgt.RDat	ENSG00000280367.1	11	90223364	90223365	0.5261	rs7481240	-2.45	rs3758758	 0.358430	 -8.87	-0.3894	280	280	susie	0.36	1.7e-22	 0.38777	0.698184
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000182919.14.wgt.RDat	ENSG00000182919.14	11	93741962	93741963	0.4556	rs11020241	-2.64	rs652961	 0.376772	  9.37	-1.8074	405	405	susie	0.41	3.5e-26	-1.81312	0.069814
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000181333.11.wgt.RDat	ENSG00000181333.11	11	94021360	94021361	0.6286	rs12361952	-2.52	rs2213108	 0.346419	  8.63	-0.8869	412	412	susie	0.44	1.3e-28	-0.07194	0.942648
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000123901.8.wgt.RDat	ENSG00000123901.8	11	94401418	94401419	0.1529	rs12361952	-2.52	rs11602404	-0.002576	 -3.44	-0.2967	436	 21	enet	0.0072	0.11	 0.02322	0.981476
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000255893.1.wgt.RDat	ENSG00000255893.1	11	94473569	94473570	0.5365	rs12361952	-2.52	rs535801	 0.493817	 10.30	 0.0949	432	  1	top1	0.49	3e-33	 0.09489	0.924403
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000020922.12.wgt.RDat	ENSG00000020922.12	11	94492905	94492906	0.5283	rs12361952	-2.52	rs535801	 0.510258	 10.48	 0.0949	432	  1	top1	0.51	9.1e-35	 0.09489	0.924403
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000150316.11.wgt.RDat	ENSG00000150316.11	11	94973611	94973612	0.2883	rs10831307	 2.57	rs16921241	 0.170026	  6.08	-1.7801	498	  1	top1	0.17	2.3e-10	-1.78005	0.075067
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000149218.4.wgt.RDat	ENSG00000149218.4	11	95089809	95089810	0.2332	rs10501829	-3.24	rs1039750	 0.106874	  5.47	 1.4945	530	530	susie	0.12	1.7e-07	 1.71700	0.085979
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000270689.1.wgt.RDat	ENSG00000270689.1	11	95143636	95143637	0.1972	rs10501829	-3.24	rs1374666	 0.069296	  5.27	 1.1330	510	  5	lasso	0.12	7e-08	 1.49148	0.135837
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000270578.1.wgt.RDat	ENSG00000270578.1	11	95145436	95145437	0.2423	rs10501829	-3.24	rs1374666	 0.059420	  5.32	 1.1330	512	  5	lasso	0.099	1.6e-06	 1.43426	0.151499
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000149212.11.wgt.RDat	ENSG00000149212.11	11	95232540	95232541	0.2043	rs10501829	-3.24	rs10831371	 0.119854	 -5.66	-1.2422	498	498	susie	0.14	1.5e-08	 1.42727	0.153502
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000087053.18.wgt.RDat	ENSG00000087053.18	11	95925314	95925315	0.1703	rs10501829	-3.24	rs617999	 0.075632	 -5.39	-0.3135	594	594	susie	0.1	9.8e-07	 0.37507	0.707610
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000149231.11.wgt.RDat	ENSG00000149231.11	11	96389922	96389923	0.6585	rs2164182	 2.73	rs11021568	 0.458204	  9.90	-1.2093	542	  1	top1	0.46	4.1e-30	-1.20928	0.226557
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000165895.17.wgt.RDat	ENSG00000165895.17	11	100738442	100738443	0.3047	rs7947761	 4.36	rs1216743	 0.186112	  6.94	-3.0435	528	  6	lasso	0.24	1.6e-14	-3.48708	0.000488
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000170647.3.wgt.RDat	ENSG00000170647.3	11	100991988	100991989	0.3838	rs7947761	 4.36	rs1216743	 0.227854	  7.35	-3.0435	538	  5	lasso	0.24	1.2e-14	-3.50526	0.000456
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000187151.7.wgt.RDat	ENSG00000187151.7	11	101916521	101916522	0.1276	rs6590882	 2.38	rs1661409	 0.052821	  4.27	-0.7728	422	  1	top1	0.053	0.00043	-0.77281	0.439633
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000235505.7.wgt.RDat	ENSG00000235505.7	11	104919072	104919073	0.1013	rs17465787	-2.68	rs609092	-0.003128	  3.54	-0.3730	343	343	susie	0.029	0.0076	-0.89913	0.368583
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000149313.10.wgt.RDat	ENSG00000149313.10	11	106075500	106075501	0.1011	rs1939820	-3.36	rs679218	 0.033193	  3.44	 0.1297	366	  9	lasso	0.034	0.0038	 0.16791	0.866656
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000261098.1.wgt.RDat	ENSG00000261098.1	11	107316270	107316271	0.1057	rs6588940	 3.55	rs7111266	 0.065068	  4.83	-0.7337	473	  5	enet	0.078	2.2e-05	-0.51296	0.607978
